,sub,ses,motion,path
0,sub-3035,ses-1,0.06715286083432244,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-3035/ses-1/t1_linear/sub-3035_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
1,sub-1142,ses-1,0.08673021793993316,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1142/ses-1/t1_linear/sub-1142_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
2,sub-1135,ses-1,0.0679048674453199,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1135/ses-1/t1_linear/sub-1135_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
3,sub-1038,ses-1,0.0755361124939688,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1038/ses-1/t1_linear/sub-1038_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
4,sub-4052,ses-2,0.07433969683824611,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4052/ses-2/t1_linear/sub-4052_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
5,sub-4052,ses-1,0.0802845744323243,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4052/ses-1/t1_linear/sub-4052_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
6,sub-4128,ses-1,0.07605137047017617,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4128/ses-1/t1_linear/sub-4128_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
7,sub-4058,ses-1,0.08160450273804824,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4058/ses-1/t1_linear/sub-4058_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
8,sub-2014,ses-1,0.08178237335587199,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-2014/ses-1/t1_linear/sub-2014_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
9,sub-1032,ses-1,0.08414238799524858,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1032/ses-1/t1_linear/sub-1032_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
10,sub-1045,ses-1,0.07925113287819287,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1045/ses-1/t1_linear/sub-1045_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
11,sub-3007,ses-2,0.08615307887286337,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-3007/ses-2/t1_linear/sub-3007_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
12,sub-3007,ses-1,0.08037633370442676,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-3007/ses-1/t1_linear/sub-3007_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
13,sub-4060,ses-1,0.08022943039381636,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4060/ses-1/t1_linear/sub-4060_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
14,sub-4017,ses-1,0.07946971960505479,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4017/ses-1/t1_linear/sub-4017_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
15,sub-1093,ses-1,0.07827120937876168,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1093/ses-1/t1_linear/sub-1093_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
16,sub-1107,ses-1,0.0953382016376387,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1107/ses-1/t1_linear/sub-1107_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
17,sub-1099,ses-1,0.0783626811955742,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1099/ses-1/t1_linear/sub-1099_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
18,sub-1077,ses-1,0.0753790714049168,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1077/ses-1/t1_linear/sub-1077_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
19,sub-4084,ses-1,0.07928279044022536,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4084/ses-1/t1_linear/sub-4084_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
20,sub-3026,ses-1,0.08405815135053785,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-3026/ses-1/t1_linear/sub-3026_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
21,sub-2070,ses-1,0.07722006962308625,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-2070/ses-1/t1_linear/sub-2070_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
22,sub-2007,ses-1,0.08930436799544875,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-2007/ses-1/t1_linear/sub-2007_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
23,sub-2007,ses-2,0.07770825082142759,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-2007/ses-2/t1_linear/sub-2007_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
24,sub-1021,ses-1,0.10106949920826865,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1021/ses-1/t1_linear/sub-1021_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
25,sub-1056,ses-1,0.07831366057313943,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1056/ses-1/t1_linear/sub-1056_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
26,sub-4036,ses-3,0.08443715421862781,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4036/ses-3/t1_linear/sub-4036_ses-3_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
27,sub-4036,ses-2,0.09236195389019046,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4036/ses-2/t1_linear/sub-4036_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
28,sub-4036,ses-1,0.08462143119344674,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4036/ses-1/t1_linear/sub-4036_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
29,sub-4041,ses-2,0.06975759391717477,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4041/ses-2/t1_linear/sub-4041_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
30,sub-4041,ses-1,0.06610498747340851,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4041/ses-1/t1_linear/sub-4041_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
31,sub-4041,ses-3,0.07069226892387549,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4041/ses-3/t1_linear/sub-4041_ses-3_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
32,sub-1126,ses-1,0.08564702943386915,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1126/ses-1/t1_linear/sub-1126_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
33,sub-4097,ses-1,0.07647715283353726,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4097/ses-1/t1_linear/sub-4097_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
34,sub-4103,ses-1,0.0860929088299111,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4103/ses-1/t1_linear/sub-4103_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
35,sub-4103,ses-2,0.08166250143532663,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4103/ses-2/t1_linear/sub-4103_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
36,sub-4103,ses-3,0.08350423127117587,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4103/ses-3/t1_linear/sub-4103_ses-3_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
37,sub-1064,ses-1,0.08476457943476003,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1064/ses-1/t1_linear/sub-1064_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
38,sub-1013,ses-1,0.06850435205378562,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1013/ses-1/t1_linear/sub-1013_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
39,sub-2042,ses-1,0.07652928254313754,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-2042/ses-1/t1_linear/sub-2042_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
40,sub-2042,ses-2,0.07329695595552298,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-2042/ses-2/t1_linear/sub-2042_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
41,sub-1019,ses-1,0.08023164828312337,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1019/ses-1/t1_linear/sub-1019_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
42,sub-1080,ses-1,0.07114815165563591,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1080/ses-1/t1_linear/sub-1080_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
43,sub-1114,ses-1,0.07744671884366847,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1114/ses-1/t1_linear/sub-1114_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
44,sub-2048,ses-1,0.09219484333459933,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-2048/ses-1/t1_linear/sub-2048_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
45,sub-2048,ses-2,0.07662836621390545,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-2048/ses-2/t1_linear/sub-2048_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
46,sub-2048,ses-3,0.08167780335959611,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-2048/ses-3/t1_linear/sub-2048_ses-3_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
47,sub-4109,ses-1,0.07172560209970417,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4109/ses-1/t1_linear/sub-4109_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
48,sub-4073,ses-2,0.07455914585459522,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4073/ses-2/t1_linear/sub-4073_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
49,sub-4073,ses-1,0.07500337386444392,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4073/ses-1/t1_linear/sub-4073_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
50,sub-4004,ses-2,0.08355772128941037,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4004/ses-2/t1_linear/sub-4004_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
51,sub-4004,ses-1,0.06930980412711289,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4004/ses-1/t1_linear/sub-4004_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
52,sub-4104,ses-1,0.07710901120108604,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4104/ses-1/t1_linear/sub-4104_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
53,sub-1119,ses-1,0.08867148681271746,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1119/ses-1/t1_linear/sub-1119_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
54,sub-1063,ses-1,0.08680419578643682,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1063/ses-1/t1_linear/sub-1063_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
55,sub-2045,ses-2,0.07340324495795524,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-2045/ses-2/t1_linear/sub-2045_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
56,sub-2045,ses-1,0.07693146149600331,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-2045/ses-1/t1_linear/sub-2045_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
57,sub-1113,ses-1,0.09576971671096386,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1113/ses-1/t1_linear/sub-1113_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
58,sub-1087,ses-1,0.08059964959704673,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1087/ses-1/t1_linear/sub-1087_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
59,sub-1069,ses-1,0.09553939821240467,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1069/ses-1/t1_linear/sub-1069_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
60,sub-2038,ses-1,0.1113288810452665,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-2038/ses-1/t1_linear/sub-2038_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
61,sub-4003,ses-2,0.06909837225959352,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4003/ses-2/t1_linear/sub-4003_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
62,sub-4003,ses-1,0.0823763468492721,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4003/ses-1/t1_linear/sub-4003_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
63,sub-4003,ses-4,0.07737775437548013,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4003/ses-4/t1_linear/sub-4003_ses-4_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
64,sub-4003,ses-3,0.07262693547933688,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4003/ses-3/t1_linear/sub-4003_ses-3_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
65,sub-4074,ses-1,0.06513624555581106,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4074/ses-1/t1_linear/sub-4074_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
66,sub-4074,ses-2,0.06639154732127596,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4074/ses-2/t1_linear/sub-4074_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
67,sub-1051,ses-1,0.08219654011553415,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1051/ses-1/t1_linear/sub-1051_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
68,sub-1026,ses-1,0.08818834966843976,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1026/ses-1/t1_linear/sub-1026_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
69,sub-4046,ses-1,0.06983660170421346,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4046/ses-1/t1_linear/sub-4046_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
70,sub-4046,ses-2,0.07434373862180879,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4046/ses-2/t1_linear/sub-4046_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
