,sub,ses,motion,path
0,sub-3035,ses-1,0.017874721347044143,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-3035/ses-1/t1_linear/sub-3035_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
1,sub-1142,ses-1,0.02338412696538238,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1142/ses-1/t1_linear/sub-1142_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
2,sub-1135,ses-1,0.02357118256310082,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1135/ses-1/t1_linear/sub-1135_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
3,sub-1038,ses-1,0.03170047062425009,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1038/ses-1/t1_linear/sub-1038_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
4,sub-4052,ses-2,0.037063770974197566,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4052/ses-2/t1_linear/sub-4052_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
5,sub-4052,ses-1,0.028611852727396598,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4052/ses-1/t1_linear/sub-4052_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
6,sub-4128,ses-1,0.030055605157747464,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4128/ses-1/t1_linear/sub-4128_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
7,sub-4058,ses-1,0.031640730101121145,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4058/ses-1/t1_linear/sub-4058_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
8,sub-2014,ses-1,0.021007693779922232,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-2014/ses-1/t1_linear/sub-2014_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
9,sub-1032,ses-1,0.020918372968593245,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1032/ses-1/t1_linear/sub-1032_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
10,sub-1045,ses-1,0.015964415467294674,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1045/ses-1/t1_linear/sub-1045_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
11,sub-3007,ses-2,0.025021303384880556,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-3007/ses-2/t1_linear/sub-3007_ses-2_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
12,sub-3007,ses-1,0.02497469944140372,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-3007/ses-1/t1_linear/sub-3007_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
13,sub-4060,ses-1,0.01980481907909853,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4060/ses-1/t1_linear/sub-4060_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
14,sub-4017,ses-1,0.051450180798013515,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4017/ses-1/t1_linear/sub-4017_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
15,sub-1093,ses-1,0.02602602180340391,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1093/ses-1/t1_linear/sub-1093_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
16,sub-1107,ses-1,0.028223402825458373,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1107/ses-1/t1_linear/sub-1107_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
17,sub-1099,ses-1,0.023740146850114732,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1099/ses-1/t1_linear/sub-1099_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
18,sub-1077,ses-1,0.02352289922827168,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-1077/ses-1/t1_linear/sub-1077_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
19,sub-4084,ses-1,0.01830292951187457,/home/cbricout/scratch/HCPEP_preproc/subjects/sub-4084/ses-1/t1_linear/sub-4084_ses-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
