,sub,ses,motion,path
0,sub-740606,ses-headmotion1,0.3377012571044951,/home/cbricout/scratch/MRART_preproc/subjects/sub-740606/ses-headmotion1/t1_linear/sub-740606_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
1,sub-740606,ses-headmotion2,0.0910009788900222,/home/cbricout/scratch/MRART_preproc/subjects/sub-740606/ses-headmotion2/t1_linear/sub-740606_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
2,sub-740606,ses-standard,0.2735965327109495,/home/cbricout/scratch/MRART_preproc/subjects/sub-740606/ses-standard/t1_linear/sub-740606_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
3,sub-508037,ses-headmotion1,0.12165607908054778,/home/cbricout/scratch/MRART_preproc/subjects/sub-508037/ses-headmotion1/t1_linear/sub-508037_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
4,sub-508037,ses-standard,0.08025949045967501,/home/cbricout/scratch/MRART_preproc/subjects/sub-508037/ses-standard/t1_linear/sub-508037_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
5,sub-508037,ses-headmotion2,0.2556964789590794,/home/cbricout/scratch/MRART_preproc/subjects/sub-508037/ses-headmotion2/t1_linear/sub-508037_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
6,sub-992121,ses-headmotion1,0.12011914794108111,/home/cbricout/scratch/MRART_preproc/subjects/sub-992121/ses-headmotion1/t1_linear/sub-992121_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
7,sub-992121,ses-headmotion2,0.07289180652253788,/home/cbricout/scratch/MRART_preproc/subjects/sub-992121/ses-headmotion2/t1_linear/sub-992121_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
8,sub-992121,ses-standard,0.14214348871932778,/home/cbricout/scratch/MRART_preproc/subjects/sub-992121/ses-standard/t1_linear/sub-992121_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
9,sub-613957,ses-headmotion2,0.6518765992632326,/home/cbricout/scratch/MRART_preproc/subjects/sub-613957/ses-headmotion2/t1_linear/sub-613957_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
10,sub-613957,ses-standard,0.068918140387875,/home/cbricout/scratch/MRART_preproc/subjects/sub-613957/ses-standard/t1_linear/sub-613957_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
11,sub-570379,ses-standard,0.25439624745975176,/home/cbricout/scratch/MRART_preproc/subjects/sub-570379/ses-standard/t1_linear/sub-570379_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
12,sub-570379,ses-headmotion2,0.08903658836019947,/home/cbricout/scratch/MRART_preproc/subjects/sub-570379/ses-headmotion2/t1_linear/sub-570379_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
13,sub-570379,ses-headmotion1,0.2806517342937798,/home/cbricout/scratch/MRART_preproc/subjects/sub-570379/ses-headmotion1/t1_linear/sub-570379_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
14,sub-365622,ses-headmotion2,0.1127131089333645,/home/cbricout/scratch/MRART_preproc/subjects/sub-365622/ses-headmotion2/t1_linear/sub-365622_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
15,sub-365622,ses-headmotion1,0.09639800240630055,/home/cbricout/scratch/MRART_preproc/subjects/sub-365622/ses-headmotion1/t1_linear/sub-365622_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
16,sub-365622,ses-standard,0.10838446855406444,/home/cbricout/scratch/MRART_preproc/subjects/sub-365622/ses-standard/t1_linear/sub-365622_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
17,sub-802945,ses-headmotion1,0.22236346031752655,/home/cbricout/scratch/MRART_preproc/subjects/sub-802945/ses-headmotion1/t1_linear/sub-802945_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
18,sub-802945,ses-headmotion2,0.2773891968361904,/home/cbricout/scratch/MRART_preproc/subjects/sub-802945/ses-headmotion2/t1_linear/sub-802945_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
19,sub-802945,ses-standard,0.31019956475118254,/home/cbricout/scratch/MRART_preproc/subjects/sub-802945/ses-standard/t1_linear/sub-802945_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
20,sub-407309,ses-standard,0.16262752346654483,/home/cbricout/scratch/MRART_preproc/subjects/sub-407309/ses-standard/t1_linear/sub-407309_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
21,sub-407309,ses-headmotion2,0.18279972048491688,/home/cbricout/scratch/MRART_preproc/subjects/sub-407309/ses-headmotion2/t1_linear/sub-407309_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
22,sub-407309,ses-headmotion1,0.16091931336708526,/home/cbricout/scratch/MRART_preproc/subjects/sub-407309/ses-headmotion1/t1_linear/sub-407309_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
23,sub-000179,ses-standard,0.07596876802422588,/home/cbricout/scratch/MRART_preproc/subjects/sub-000179/ses-standard/t1_linear/sub-000179_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
24,sub-000179,ses-headmotion2,0.07058299369579697,/home/cbricout/scratch/MRART_preproc/subjects/sub-000179/ses-headmotion2/t1_linear/sub-000179_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
25,sub-000179,ses-headmotion1,0.07529242819570685,/home/cbricout/scratch/MRART_preproc/subjects/sub-000179/ses-headmotion1/t1_linear/sub-000179_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
26,sub-424015,ses-standard,0.08008936480525933,/home/cbricout/scratch/MRART_preproc/subjects/sub-424015/ses-standard/t1_linear/sub-424015_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
27,sub-424015,ses-headmotion2,0.0499104958124639,/home/cbricout/scratch/MRART_preproc/subjects/sub-424015/ses-headmotion2/t1_linear/sub-424015_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
28,sub-177856,ses-standard,0.23224695205140977,/home/cbricout/scratch/MRART_preproc/subjects/sub-177856/ses-standard/t1_linear/sub-177856_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
29,sub-177856,ses-headmotion1,0.38231573208634195,/home/cbricout/scratch/MRART_preproc/subjects/sub-177856/ses-headmotion1/t1_linear/sub-177856_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
30,sub-177856,ses-headmotion2,0.13662692988565833,/home/cbricout/scratch/MRART_preproc/subjects/sub-177856/ses-headmotion2/t1_linear/sub-177856_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
31,sub-519991,ses-standard,0.07966198281895509,/home/cbricout/scratch/MRART_preproc/subjects/sub-519991/ses-standard/t1_linear/sub-519991_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
