,sub,ses,motion,path
0,sub-23903,ses-visit1,0.07645020239155165,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23903/ses-visit1/t1_linear/sub-23903_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
1,sub-23720,ses-visit1,0.08641020374299084,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23720/ses-visit1/t1_linear/sub-23720_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
2,sub-23757,ses-visit1,0.09699064182178044,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23757/ses-visit1/t1_linear/sub-23757_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
3,sub-23718,ses-visit1,0.07507319393166066,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23718/ses-visit1/t1_linear/sub-23718_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
4,sub-23540,ses-visit1,0.06961863434824063,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23540/ses-visit1/t1_linear/sub-23540_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
5,sub-23817,ses-visit1,0.07706762336433097,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23817/ses-visit1/t1_linear/sub-23817_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
6,sub-22686,ses-visit1,0.08632745318624845,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-22686/ses-visit1/t1_linear/sub-22686_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
7,sub-23303,ses-visit1,0.0788680782249807,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23303/ses-visit1/t1_linear/sub-23303_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
8,sub-23649,ses-visit1,0.08977014207627794,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23649/ses-visit1/t1_linear/sub-23649_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
9,sub-23643,ses-visit1,0.068189080207981,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23643/ses-visit1/t1_linear/sub-23643_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
10,sub-23798,ses-visit1,0.0655107824838283,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23798/ses-visit1/t1_linear/sub-23798_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
11,sub-23952,ses-visit1,0.07510858867421552,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23952/ses-visit1/t1_linear/sub-23952_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
12,sub-23639,ses-visit1,0.07961813344096623,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23639/ses-visit1/t1_linear/sub-23639_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
13,sub-23867,ses-visit1,0.06515316895663849,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23867/ses-visit1/t1_linear/sub-23867_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
14,sub-23890,ses-visit1,0.08402743148378243,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23890/ses-visit1/t1_linear/sub-23890_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
15,sub-23399,ses-visit1,0.059809823981594804,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23399/ses-visit1/t1_linear/sub-23399_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
16,sub-23549,ses-visit1,0.0646697097907248,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23549/ses-visit1/t1_linear/sub-23549_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
17,sub-23919,ses-visit1,0.07442846692097797,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23919/ses-visit1/t1_linear/sub-23919_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
18,sub-23814,ses-visit1,0.07228608152128095,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23814/ses-visit1/t1_linear/sub-23814_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
19,sub-20900,ses-visit1,0.08873927396364689,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-20900/ses-visit1/t1_linear/sub-20900_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
20,sub-23951,ses-visit1,0.07428484199604336,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23951/ses-visit1/t1_linear/sub-23951_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
21,sub-23856,ses-visit1,0.07649500489938468,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23856/ses-visit1/t1_linear/sub-23856_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
22,sub-23576,ses-visit1,0.07727369850624528,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23576/ses-visit1/t1_linear/sub-23576_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
23,sub-23880,ses-visit1,0.07857831068396015,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23880/ses-visit1/t1_linear/sub-23880_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
24,sub-23969,ses-visit1,0.08039569809635289,/home/cbricout/scratch/OpenNeuro_preproc/ds003709/subjects/sub-23969/ses-visit1/t1_linear/sub-23969_ses-visit1_run-1_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
