,sub,ses,motion,path
0,sub-740606,ses-headmotion1,0.18497884109536553,/home/cbricout/scratch/MRART_preproc/subjects/sub-740606/ses-headmotion1/t1_linear/sub-740606_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
1,sub-740606,ses-headmotion2,0.17613867987857718,/home/cbricout/scratch/MRART_preproc/subjects/sub-740606/ses-headmotion2/t1_linear/sub-740606_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
2,sub-740606,ses-standard,0.15959003358330323,/home/cbricout/scratch/MRART_preproc/subjects/sub-740606/ses-standard/t1_linear/sub-740606_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
3,sub-508037,ses-headmotion1,0.22141350326869302,/home/cbricout/scratch/MRART_preproc/subjects/sub-508037/ses-headmotion1/t1_linear/sub-508037_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
4,sub-508037,ses-standard,0.19958297787813814,/home/cbricout/scratch/MRART_preproc/subjects/sub-508037/ses-standard/t1_linear/sub-508037_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
5,sub-508037,ses-headmotion2,0.11537113626415237,/home/cbricout/scratch/MRART_preproc/subjects/sub-508037/ses-headmotion2/t1_linear/sub-508037_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
6,sub-992121,ses-headmotion1,0.2621383864621546,/home/cbricout/scratch/MRART_preproc/subjects/sub-992121/ses-headmotion1/t1_linear/sub-992121_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
7,sub-992121,ses-headmotion2,0.1755634276406679,/home/cbricout/scratch/MRART_preproc/subjects/sub-992121/ses-headmotion2/t1_linear/sub-992121_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
8,sub-992121,ses-standard,0.21092103804924572,/home/cbricout/scratch/MRART_preproc/subjects/sub-992121/ses-standard/t1_linear/sub-992121_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
9,sub-613957,ses-headmotion2,0.2873938677359889,/home/cbricout/scratch/MRART_preproc/subjects/sub-613957/ses-headmotion2/t1_linear/sub-613957_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
10,sub-613957,ses-standard,0.14289744293003215,/home/cbricout/scratch/MRART_preproc/subjects/sub-613957/ses-standard/t1_linear/sub-613957_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
11,sub-570379,ses-standard,0.19053041325303466,/home/cbricout/scratch/MRART_preproc/subjects/sub-570379/ses-standard/t1_linear/sub-570379_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
12,sub-570379,ses-headmotion2,0.18930585109904963,/home/cbricout/scratch/MRART_preproc/subjects/sub-570379/ses-headmotion2/t1_linear/sub-570379_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
13,sub-570379,ses-headmotion1,0.20266118146723422,/home/cbricout/scratch/MRART_preproc/subjects/sub-570379/ses-headmotion1/t1_linear/sub-570379_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
14,sub-365622,ses-headmotion2,0.20227942311110478,/home/cbricout/scratch/MRART_preproc/subjects/sub-365622/ses-headmotion2/t1_linear/sub-365622_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
15,sub-365622,ses-headmotion1,0.2960410976779574,/home/cbricout/scratch/MRART_preproc/subjects/sub-365622/ses-headmotion1/t1_linear/sub-365622_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
16,sub-365622,ses-standard,0.22146232089046367,/home/cbricout/scratch/MRART_preproc/subjects/sub-365622/ses-standard/t1_linear/sub-365622_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
17,sub-802945,ses-headmotion1,0.16542139591556146,/home/cbricout/scratch/MRART_preproc/subjects/sub-802945/ses-headmotion1/t1_linear/sub-802945_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
18,sub-802945,ses-headmotion2,0.1710307169755661,/home/cbricout/scratch/MRART_preproc/subjects/sub-802945/ses-headmotion2/t1_linear/sub-802945_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
19,sub-802945,ses-standard,0.1745319081239998,/home/cbricout/scratch/MRART_preproc/subjects/sub-802945/ses-standard/t1_linear/sub-802945_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
20,sub-407309,ses-standard,0.20964180552479472,/home/cbricout/scratch/MRART_preproc/subjects/sub-407309/ses-standard/t1_linear/sub-407309_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
21,sub-407309,ses-headmotion2,0.16851777508650345,/home/cbricout/scratch/MRART_preproc/subjects/sub-407309/ses-headmotion2/t1_linear/sub-407309_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
22,sub-407309,ses-headmotion1,0.19992016865698106,/home/cbricout/scratch/MRART_preproc/subjects/sub-407309/ses-headmotion1/t1_linear/sub-407309_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
23,sub-000179,ses-standard,0.2062133486406816,/home/cbricout/scratch/MRART_preproc/subjects/sub-000179/ses-standard/t1_linear/sub-000179_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
24,sub-000179,ses-headmotion2,0.19857301168026567,/home/cbricout/scratch/MRART_preproc/subjects/sub-000179/ses-headmotion2/t1_linear/sub-000179_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
25,sub-000179,ses-headmotion1,0.21249912679668886,/home/cbricout/scratch/MRART_preproc/subjects/sub-000179/ses-headmotion1/t1_linear/sub-000179_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
26,sub-424015,ses-standard,0.2152800642345015,/home/cbricout/scratch/MRART_preproc/subjects/sub-424015/ses-standard/t1_linear/sub-424015_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
27,sub-424015,ses-headmotion2,0.22430220940914541,/home/cbricout/scratch/MRART_preproc/subjects/sub-424015/ses-headmotion2/t1_linear/sub-424015_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
28,sub-177856,ses-standard,0.20973983541497676,/home/cbricout/scratch/MRART_preproc/subjects/sub-177856/ses-standard/t1_linear/sub-177856_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
29,sub-177856,ses-headmotion1,0.24764125123501993,/home/cbricout/scratch/MRART_preproc/subjects/sub-177856/ses-headmotion1/t1_linear/sub-177856_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
30,sub-177856,ses-headmotion2,0.21024333185612126,/home/cbricout/scratch/MRART_preproc/subjects/sub-177856/ses-headmotion2/t1_linear/sub-177856_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
31,sub-519991,ses-standard,0.10267438320513862,/home/cbricout/scratch/MRART_preproc/subjects/sub-519991/ses-standard/t1_linear/sub-519991_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
32,sub-519991,ses-headmotion2,0.11603783409337942,/home/cbricout/scratch/MRART_preproc/subjects/sub-519991/ses-headmotion2/t1_linear/sub-519991_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
33,sub-519991,ses-headmotion1,0.14496669151353503,/home/cbricout/scratch/MRART_preproc/subjects/sub-519991/ses-headmotion1/t1_linear/sub-519991_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
34,sub-672229,ses-headmotion2,0.18886530389680783,/home/cbricout/scratch/MRART_preproc/subjects/sub-672229/ses-headmotion2/t1_linear/sub-672229_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
35,sub-672229,ses-headmotion1,0.2252386844484424,/home/cbricout/scratch/MRART_preproc/subjects/sub-672229/ses-headmotion1/t1_linear/sub-672229_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
