,sub,ses,motion,path
0,sub-740606,ses-headmotion1,0.41239902236728876,/home/cbricout/scratch/MRART_preproc/subjects/sub-740606/ses-headmotion1/t1_linear/sub-740606_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
1,sub-740606,ses-headmotion2,0.3522260364217779,/home/cbricout/scratch/MRART_preproc/subjects/sub-740606/ses-headmotion2/t1_linear/sub-740606_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
2,sub-740606,ses-standard,0.20900786734950777,/home/cbricout/scratch/MRART_preproc/subjects/sub-740606/ses-standard/t1_linear/sub-740606_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
3,sub-508037,ses-headmotion1,0.5107566547621869,/home/cbricout/scratch/MRART_preproc/subjects/sub-508037/ses-headmotion1/t1_linear/sub-508037_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
4,sub-508037,ses-standard,0.1895371367841569,/home/cbricout/scratch/MRART_preproc/subjects/sub-508037/ses-standard/t1_linear/sub-508037_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
5,sub-508037,ses-headmotion2,0.6722815210478188,/home/cbricout/scratch/MRART_preproc/subjects/sub-508037/ses-headmotion2/t1_linear/sub-508037_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
6,sub-992121,ses-headmotion1,0.3176322768439387,/home/cbricout/scratch/MRART_preproc/subjects/sub-992121/ses-headmotion1/t1_linear/sub-992121_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
7,sub-992121,ses-headmotion2,0.30241453239019683,/home/cbricout/scratch/MRART_preproc/subjects/sub-992121/ses-headmotion2/t1_linear/sub-992121_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
8,sub-992121,ses-standard,0.30245315358197433,/home/cbricout/scratch/MRART_preproc/subjects/sub-992121/ses-standard/t1_linear/sub-992121_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
9,sub-613957,ses-headmotion2,0.7225346283042285,/home/cbricout/scratch/MRART_preproc/subjects/sub-613957/ses-headmotion2/t1_linear/sub-613957_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
10,sub-613957,ses-standard,0.3091735083865945,/home/cbricout/scratch/MRART_preproc/subjects/sub-613957/ses-standard/t1_linear/sub-613957_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
11,sub-570379,ses-standard,0.16079877534250406,/home/cbricout/scratch/MRART_preproc/subjects/sub-570379/ses-standard/t1_linear/sub-570379_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
12,sub-570379,ses-headmotion2,0.2700616250608925,/home/cbricout/scratch/MRART_preproc/subjects/sub-570379/ses-headmotion2/t1_linear/sub-570379_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
13,sub-570379,ses-headmotion1,0.24109189538774847,/home/cbricout/scratch/MRART_preproc/subjects/sub-570379/ses-headmotion1/t1_linear/sub-570379_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
14,sub-365622,ses-headmotion2,0.3739948334987145,/home/cbricout/scratch/MRART_preproc/subjects/sub-365622/ses-headmotion2/t1_linear/sub-365622_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
15,sub-365622,ses-headmotion1,0.37739528191591193,/home/cbricout/scratch/MRART_preproc/subjects/sub-365622/ses-headmotion1/t1_linear/sub-365622_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
16,sub-365622,ses-standard,0.19984933304519303,/home/cbricout/scratch/MRART_preproc/subjects/sub-365622/ses-standard/t1_linear/sub-365622_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
17,sub-802945,ses-headmotion1,0.24723532751944935,/home/cbricout/scratch/MRART_preproc/subjects/sub-802945/ses-headmotion1/t1_linear/sub-802945_ses-headmotion1_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
18,sub-802945,ses-headmotion2,0.3633919291239462,/home/cbricout/scratch/MRART_preproc/subjects/sub-802945/ses-headmotion2/t1_linear/sub-802945_ses-headmotion2_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
19,sub-802945,ses-standard,0.25390940145133056,/home/cbricout/scratch/MRART_preproc/subjects/sub-802945/ses-standard/t1_linear/sub-802945_ses-standard_acq_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
