,sub,ses,motion,path
0,sub-NDARHJ830RXD,ses-HCP,0.04773051078028853,/home/cbricout/scratch/Site-RU_preproc/subjects/sub-NDARHJ830RXD/ses-HCP/t1_linear/sub-NDARHJ830RXD_ses-HCP_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
1,sub-NDARDE681UEX,ses-HCP,0.05818510872542264,/home/cbricout/scratch/Site-RU_preproc/subjects/sub-NDARDE681UEX/ses-HCP/t1_linear/sub-NDARDE681UEX_ses-HCP_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
2,sub-NDARWK983JFE,ses-HCP,0.45780214386650186,/home/cbricout/scratch/Site-RU_preproc/subjects/sub-NDARWK983JFE/ses-HCP/t1_linear/sub-NDARWK983JFE_ses-HCP_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
3,sub-NDARBT607PZL,ses-HCP,0.11716356234774002,/home/cbricout/scratch/Site-RU_preproc/subjects/sub-NDARBT607PZL/ses-HCP/t1_linear/sub-NDARBT607PZL_ses-HCP_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
4,sub-NDARMJ334ZK3,ses-HCP,0.22231948486504097,/home/cbricout/scratch/Site-RU_preproc/subjects/sub-NDARMJ334ZK3/ses-HCP/t1_linear/sub-NDARMJ334ZK3_ses-HCP_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
5,sub-NDARBL242L4H,ses-HCP,0.0980196275418298,/home/cbricout/scratch/Site-RU_preproc/subjects/sub-NDARBL242L4H/ses-HCP/t1_linear/sub-NDARBL242L4H_ses-HCP_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
6,sub-NDARHC357HLP,ses-HCP,0.1093304600968357,/home/cbricout/scratch/Site-RU_preproc/subjects/sub-NDARHC357HLP/ses-HCP/t1_linear/sub-NDARHC357HLP_ses-HCP_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
7,sub-NDARMJ849UKD,ses-HCP,0.10647204300509112,/home/cbricout/scratch/Site-RU_preproc/subjects/sub-NDARMJ849UKD/ses-HCP/t1_linear/sub-NDARMJ849UKD_ses-HCP_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
8,sub-NDARLP624GFH,ses-HCP,0.07491768678578492,/home/cbricout/scratch/Site-RU_preproc/subjects/sub-NDARLP624GFH/ses-HCP/t1_linear/sub-NDARLP624GFH_ses-HCP_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
9,sub-NDARLN778RYN,ses-HCP,1.0523055005397965,/home/cbricout/scratch/Site-RU_preproc/subjects/sub-NDARLN778RYN/ses-HCP/t1_linear/sub-NDARLN778RYN_ses-HCP_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
10,sub-NDARRL685WB7,ses-HCP,0.19249154738859758,/home/cbricout/scratch/Site-RU_preproc/subjects/sub-NDARRL685WB7/ses-HCP/t1_linear/sub-NDARRL685WB7_ses-HCP_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
11,sub-NDARTX795AKR,ses-HCP,0.13877019781288033,/home/cbricout/scratch/Site-RU_preproc/subjects/sub-NDARTX795AKR/ses-HCP/t1_linear/sub-NDARTX795AKR_ses-HCP_space-MNI152NLin2009cSym_res-1x1x1_T1w.nii.gz
